Name,Longitude,Latitude
Быструха,56.4241362,70.6267296
Быструха,56.4202778,70.625
Водолазово,56.1644444,70.0261111
Конево,56.2903959,70.7141297
Конево,56.2905556,70.7147222
Майка,56.01,70.1183333
Назарово,56.5675,70.7869444
Назарово,56.5675,70.7869444
Ощепково,56.4831772,70.698908
Ощепково,56.4822222,70.6955556
Партизан,56.0377778,70.85
Иваново,56.0884443,67.768114
Красноорлово,55.8732797,67.9035
Прохорово,55.9257628,67.4007732
Прохорово,55.9247222,67.4013889
Прохорово,55.9247222,67.4013889
Южно-Дубровное,55.7780556,67.6783333
Южно-Дубровное,55.7761111,67.6797222
Кармацкая,56.7395153,68.6426177
Кармацкая,56.7394444,68.6425
Кармацкая,56.7394444,68.6425
Кротово,56.914787,69.270547
Кротово,56.9144444,69.2725
Малиновка,57.1497879,68.8826572
Малиновка,57.1488889,68.8808333
Малиновка,57.1488889,68.8847222
Новоаптула,57.0521185,68.9272596
Новоаптула,57.0519444,68.9272222
Новоберезовка,57.1010352,69.3716801
Новоберезовка,57.1016667,69.3808333
Новоберезовка,57.1016667,69.3808333
Новопетрово,57.1883132,69.1330807
Новопетрово,57.1869444,69.1408333
Русаково,56.9810058,68.9015417
Русаково,56.9808333,68.9013889
Русаково,56.9808333,68.9013889
Зарослое,55.4766339,68.6043618
Зарослое,55.4766667,68.6041667
Мелехино,56.0502778,68.5763889
Старорямова,55.6894444,68.2316667
Старорямово,55.6896606,68.231821
Уктуз,55.6107208,68.4810845
Уктуз,55.6122222,68.4813889
Абаул,57.8714745,70.3770446
Абаул,57.8713889,70.3769444
Аксурка,57.9752868,70.1018364
Аксурка,57.9752778,70.1016667
Аксурка,57.9752778,70.1016667
Большой Карагай,57.9474648,70.2422835
Большой Карагай,57.9513889,70.2347222
Большой Карагай,57.9513889,70.2347222
Вершинская,57.3595532,70.1146856
Вершинская,57.3594444,70.1144444
Веселинская,57.5263037,70.6128214
Второвагайское,58.0091667,68.9644444
Второсалинская,57.9894444,69.9341667
Дубровное,57.9515364,69.4340601
Дубровное,57.9525,69.43
Заречный,57.8819159,69.1262087
Индери,57.495921,69.214797
Индери,57.4958333,69.2147222
Иртыш,58.0445057,69.4766834
Иртыш,58.0391667,69.4858333
Казанка,57.9365434,69.0246358
Казанское,57.7930556,69.6522222
Казанское,57.7927778,69.6486111
Касьяново,58.014685,69.1467895
Касьяново,58.014799,69.146858
Касьяново,58.0147222,69.1466667
Комсомольский,57.2586685,69.0483643
Комсомольский,57.2586111,69.0483333
Курья,57.9938889,69.7888889
Малый Уват,57.6014865,69.9727257
Малый Уват,57.6013889,69.9725
Митькина,57.8063687,69.4871403
Митькинское,57.8063889,69.4869444
Осиновская,57.479952,70.431314
Осиновская,57.4866667,70.4475
Осиновская,57.4783333,70.4261111
Первомайский,57.4050388,69.054613
Первомайский,57.4025,69.0513889
Первомайский,57.4041667,69.0547222
Птицкое,57.7377778,68.8541667
Птицкое,57.7377778,68.8541667
Птицы,57.735249,68.850847
Супра,57.9959812,69.5653044
Супра,57.998233,69.55596
Супра,57.9975,69.5566667
Тукуз,57.6507617,69.7669916
Тукуз,57.6497222,69.7616667
Тукуз,57.6505556,69.765
Ушаково,57.4801701,68.4072549
Ушаково,57.48,68.4072222
Ушаково,57.48,68.4072222
Черное,57.6543853,69.1703661
Черное,57.6491667,69.1677778
Черное,57.6469444,69.1719444
Шестовое,57.4471401,68.2543189
Шестовое,57.4469444,68.2541667
Шестовое,57.4469444,68.2541667
Шишкина,57.5079169,68.7054906
Шишкина,57.9413889,69.0183333
Шишкина,57.5077778,68.7052778
Юрмы,57.3832483,68.0952488
Юрмы,57.3844444,68.0963889
Ачимово,56.8033333,71.3391667
Ермаки,57.2547222,70.9419444
Ермаки,57.2594444,70.9391667
Калинино,56.821646,70.838557
Калинино,56.8275,70.8277778
Калинино,56.8275,70.8277778
Каргалы,57.0723474,70.6937217
Коточиги,56.8141446,70.9387294
Коточиги,56.8152778,70.9419444
Коточиги,56.8144444,70.9463889
Нововяткино,56.5903547,70.438728
Нововяткино,56.59,70.4386111
Нововяткино,56.59,70.4386111
Озерное,56.800806,71.2614633
